IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
141091334,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Wednesday,03/08/2017,14:28,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147905,37.775420706711,"(37.775420706711, -122.40340479147905)",14109133405051
170000687,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Sunday,01/01/2017,04:30,PARK,NONE,400 Block of SCOTT ST,-122.43591604057872,37.77381139410651,"(37.77381139410651, -122.43591604057872)",17000068705011
170003170,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Monday,01/02/2017,03:30,RICHMOND,NONE,3100 Block of WASHINGTON ST,-122.44514368922259,37.79027480882432,"(37.79027480882432, -122.44514368922259)",17000317005083
170003318,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Sunday,01/01/2017,10:30,INGLESIDE,NONE,1500 Block of DOLORES ST,-122.424575505878,37.7442280333573,"(37.7442280333573, -122.424575505878)",17000331805081
170005524,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Tuesday,01/03/2017,01:38,NORTHERN,"ARREST, BOOKED",1600 Block of SUTTER ST,-122.42752815822996,37.78687086545012,"(37.78687086545012, -122.42752815822996)",17000552405011
170005734,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Monday,01/02/2017,19:00,MISSION,NONE,4700 Block of 25TH ST,-122.44208460313727,37.74924959034612,"(37.74924959034612, -122.44208460313727)",17000573405081
170005922,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Monday,01/02/2017,23:00,MISSION,NONE,0 Block of ALVARADO ST,-122.42227958204222,37.75436475953589,"(37.75436475953589, -122.42227958204222)",17000592205012
170006469,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Tuesday,01/03/2017,04:51,NORTHERN,NONE,200 Block of FILLMORE ST,-122.43024229284696,37.771430010763645,"(37.771430010763645, -122.43024229284696)",17000646905151
170007194,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Tuesday,01/03/2017,15:00,BAYVIEW,NONE,900 Block of CONNECTICUT ST,-122.39720193799317,37.75353512427617,"(37.75353512427617, -122.39720193799317)",17000719405011
170007263,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Monday,01/02/2017,21:00,PARK,NONE,400 Block of CARL ST,-122.45725877845803,37.76492432322425,"(37.76492432322425, -122.45725877845803)",17000726305073
